"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_CCL_none","0.8084","0.8325","finished","2024-05-03T07:50:02.000Z","2024-05-03T07:50:02.000Z","2024-05-03T06:41:19.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.2","CCL","0.8","0.000001","1","0","0","0.2","0.1","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5510261996269226","0.6158500049591065"
"CIFAR10_CCL_none","0.8082","0.8228","finished","2024-05-03T16:51:34.000Z","2024-05-03T16:51:34.000Z","2024-05-03T15:48:48.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","0.5","CCL","0.8","0.000001","1","1","0","0.2","1","0.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5440025653123856","0.5881623308181763"
"CIFAR10_CCL_none","0.8082","0.8205","finished","2024-05-03T14:04:28.000Z","2024-05-03T14:04:28.000Z","2024-05-03T13:20:14.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.8","0.000001","1","0","0","0.2","0.3","1.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5498392054080963","0.5940880164146424"
"CIFAR10_CCL_none","0.8082","0.827","finished","2024-05-03T06:53:25.000Z","2024-05-03T06:53:25.000Z","2024-05-03T05:41:31.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1","CCL","0.5","0.000001","1","0","0","0.2","0.1","1","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5356686512947082","0.5989151824712753"
"CIFAR10_CCL_none","0.8082","0.8227","finished","2024-05-03T06:31:59.000Z","2024-05-03T06:31:59.000Z","2024-05-03T05:35:36.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1","CCL","0.8","0.000001","1","0","0","0.2","0.1","1","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5458451813220978","0.6001277088165283"
"CIFAR10_CCL_none","0.808","0.8239","finished","2024-05-03T08:01:08.000Z","2024-05-03T08:01:08.000Z","2024-05-03T07:25:38.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.2","CCL","0.8","0.000001","1","1","0","0.2","0.3","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5380644561767578","0.5879933006286621"
"CIFAR10_CCL_none","0.808","0.8289","finished","2024-05-03T19:10:07.000Z","2024-05-03T19:10:07.000Z","2024-05-03T17:56:23.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.5","0.000001","1","1","0","0.2","0.3","1.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5345425118923187","0.6029347713530063"
"CIFAR10_CCL_none","0.808","0.8307","finished","2024-05-03T14:45:16.000Z","2024-05-03T14:45:16.000Z","2024-05-03T13:35:35.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.2","CCL","0.8","0.000001","1","0","0","0.2","0.3","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5553590796232224","0.6383274835824967"
"CIFAR10_CCL_none","0.8078","0.8226","finished","2024-05-03T15:36:23.000Z","2024-05-03T15:36:23.000Z","2024-05-03T14:30:20.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1","CCL","0.5","0.000001","1","1","0","0.2","0.3","1","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5517320740222931","0.5917175187587738"
"CIFAR10_CCL_none","0.8076","0.8221","finished","2024-05-03T11:37:10.000Z","2024-05-03T11:37:10.000Z","2024-05-03T10:33:52.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.2","CCL","0.2","0.000001","1","1","0","0.2","0.3","1.2","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5432049827575683","0.5710520331859589"
