"Name","test accuracy","valid accuracy","State","Runtime","activation_function","agent","algorithm","batch_size","dataset","epochs","forward_last_activation","learning_rate","loss_feedback","seed","sparse_ratio","std_backward","stepsize","version","test loss","train accuracy"
"FashionMNIST_FWDTP-BN_linear-BN","0.8831","0.8831","finished","6377","","false","FWDTP-BN","256","FashionMNIST","100","linear-BN","1","DTP","3","-1","0.01","0.004","","0.5953004360198975","0.9632833333333334"
"CIFAR10_DTP_linear_L-DRL","0.42","0.42","finished","1757","","false","DTP","256","CIFAR10","100","linear","0.2","L-DRL","4","-1","0.01","0.04","3","1.7004820108413696","0.45958"
"FashionMNIST_BP","0.896","0.896","finished","194","tanh","false","BP","256","FashionMNIST","100","linear","0.1","DTP","4","-1","0.01","0.04","","0.5065077543258667","1"
"CIFAR100_BP","0.221","0.221","finished","175","tanh","false","BP","256","CIFAR100","100","linear","0.01","DTP","3","-1","0.01","0.01","","3.64543342590332","0.65312"
"FashionMNIST_BP","0.8966","0.8966","finished","195","tanh","false","BP","256","FashionMNIST","100","linear","0.2","DTP","4","-1","0.01","0.04","","0.6281301379203796","1"
"FashionMNIST_DTP_linear_DTP","0.8813","0.8813","finished","4268","","false","DTP","256","FashionMNIST","100","linear","1","DTP","1","-1","0.01","0.04","","0.4125992953777313","0.9540166666666666"
"MNIST_DTP_linear_DRL","0.9336","0.9336","finished","4665","","false","DTP","256","MNIST","100","linear","4","DRL","1","-1","0.01","0.04","","0.23080135881900787","0.9377333333333332"
"MNIST_BP","0.9826","0.9826","finished","277","tanh","false","BP","256","MNIST","100","linear","0.1","DTP","2","-1","0.01","0.04","","0.07320944219827652","1"
"FashionMNIST_BP","0.0996","0.0996","finished","192","tanh","false","BP","256","FashionMNIST","100","linear","0.4","DTP","3","-1","0.01","0.04","","304744.5","0.09978333333333332"
"MNIST_DTP_linear_DRL","0.9296","0.9296","finished","1476","","false","DTP","256","MNIST","100","linear","4","DRL","2","-1","0.01","0.04","3","0.23518261313438416","0.93655"
"CIFAR100_BP","0.2087","0.2087","finished","157","tanh","false","BP","256","CIFAR100","100","linear","0.002","DTP","1","-1","0.01","0.01","","3.5364573001861572","0.27736"
"CIFAR100_BP","0.1911","0.1911","finished","161","tanh","false","BP","256","CIFAR100","100","linear","0.001","DTP","1","-1","0.01","0.01","","3.6252119541168217","0.23014"
"FashionMNIST_BP","0.2178","0.2178","finished","197","tanh","false","BP","256","FashionMNIST","100","linear","0.2","DTP","1","-1","0.01","0.04","","424964.28125","0.21663333333333337"
